,Ticket,Actual EPS,Bloomberg Estimated EPS,Announcement Date,Start,End
912,VRSN UW Equity,1.22,0.993,7/27/17,2/3/17,1/18/18
913,VRTX UW Equity,0.07,0.353,7/26/17,2/2/17,1/17/18
914,VSM UN Equity,0.41,0.43,5/2/17,11/7/16,10/20/17
915,VST UN Equity,-0.06,0.06,8/4/17,2/13/17,1/26/18
916,VTR UN Equity,0.43,0.448,7/28/17,2/6/17,1/19/18
917,VVC UN Equity,0.45,0.437,8/3/17,2/10/17,1/25/18
918,VVV UN Equity,0.35,0.333,4/25/17,10/31/16,10/13/17
919,VZ UN Equity,1.07,0.96,7/27/17,2/3/17,1/18/18
920,W UN Equity,-0.45,-0.462,8/8/17,2/15/17,1/30/18
921,WAB UN Equity,0.75,0.939,7/25/17,2/1/17,1/16/18
922,WAL UN Equity,0.77,0.726,7/20/17,1/27/17,1/10/18
923,WAT UN Equity,1.65,1.709,7/25/17,2/1/17,1/16/18
924,WBA UW Equity,0.98,1.359,4/5/17,10/12/16,9/26/17
925,WBC UN Equity,1.62,1.536,7/20/17,1/27/17,1/10/18
926,WBS UN Equity,0.65,0.605,7/21/17,1/30/17,1/11/18
927,WBT UN Equity,0.22,0.183,8/9/17,2/16/17,1/31/18
928,WCC UN Equity,1.03,0.974,7/27/17,2/3/17,1/18/18
929,WCG UN Equity,1.67,2.238,8/4/17,2/13/17,1/26/18
930,WDAY UW Equity,-0.55,-0.02,8/24/16,3/4/16,2/15/17
931,WDC UW Equity,0.82,2.124,1/25/17,8/3/16,7/18/17
932,WEC UN Equity,0.63,0.584,7/26/17,2/2/17,1/17/18
933,WELL UN Equity,0.51,0.455,7/28/17,2/6/17,1/19/18
934,WEN UW Equity,-0.01,0.131,8/9/17,2/16/17,1/31/18
935,WEX UN Equity,0.4,1.245,7/27/17,2/3/17,1/18/18
936,WFC UN Equity,1.09,1.009,7/14/17,1/23/17,1/4/18
937,WFT UN Equity,-0.17,-0.284,7/28/17,2/6/17,1/19/18
939,WHR UN Equity,2.55,3.536,7/26/17,2/2/17,1/17/18
940,WLK UN Equity,1.18,1.237,8/3/17,2/10/17,1/25/18
